id,title,genre,language,release_date,budget,revenue,rating,vote_count
11470,Jason X,Horror,en,2001-11-09,11000000,16951798,4.833,1138
56715,Just Visiting,Comedy,en,2001-04-06,35000000,16176732,4.6,585
598,City of God,Drama,pt,2002-08-30,3300000,30641770,8.422,6391
423,The Pianist,Drama,en,2002-09-17,35000000,120072577,8.383,7962
121,The Lord of the Rings: The Two Towers,Adventure,en,2002-12-18,79000000,926287400,8.377,19571
640,Catch Me If You Can,Drama,en,2002-12-16,52000000,352114312,7.965,13761
33320,Millennium Actress,Animation,ja,2002-09-14,0,37641,7.823,652
10775,Infernal Affairs,Drama,cn,2002-12-12,125000,8708932,7.817,1358
10229,A Walk to Remember,Drama,en,2002-01-25,11800000,47494916,7.745,3690
672,Harry Potter and the Chamber of Secrets,Adventure,en,2002-11-13,100000000,876688482,7.722,19731
9023,Spirit: Stallion of the Cimarron,Western,en,2002-05-24,80000000,122563539,7.695,4110
11362,The Count of Monte Cristo,Adventure,en,2002-01-23,35000000,75395048,7.654,1532
64,Talk to Her,Drama,es,2002-03-15,0,64803131,7.599,1105
1430,Bowling for Columbine,Documentary,en,2002-10-09,4000000,35564473,7.547,1347
9016,Treasure Planet,Adventure,en,2002-11-26,140000000,109578115,7.529,3656
79,Hero,Drama,zh,2002-07-22,31000000,177394432,7.509,1943
11544,Lilo & Stitch,Animation,en,2002-06-21,80000000,273144151,7.506,5440
4689,Sympathy for Mr. Vengeance,Action,ko,2002-03-29,4000000,1954937,7.48,1195
2501,The Bourne Identity,Action,en,2002-06-14,60000000,214034224,7.453,8307
1360,Frida,Drama,en,2002-08-29,12000000,56298474,7.437,1851
2757,Adaptation.,Comedy,en,2002-12-06,19000000,32801173,7.4,2139
2899,Asterix & Obelix: Mission Cleopatra,Family,fr,2002-01-30,58500000,128027976,7.368,3028
4147,Road to Perdition,Crime,en,2002-07-12,80000000,181001478,7.36,3180
20312,Interstate 60,Adventure,en,2002-04-13,7000000,0,7.35,556
1429,25th Hour,Crime,en,2002-12-19,5000000,24000000,7.347,2071
425,Ice Age,Animation,en,2002-03-10,59000000,383257136,7.341,11888
180,Minority Report,Action,en,2002-06-20,102000000,358372926,7.333,7696
590,The Hours,Drama,en,2002-12-27,25000000,41597830,7.317,1463
3131,Gangs of New York,Drama,en,2002-12-14,100000000,193772504,7.316,5882
557,Spider-Man,Fantasy,en,2002-05-01,139000000,821708551,7.265,16971
979,Irreversible,Drama,fr,2002-05-22,3500000,6500000,7.239,2441
170,28 Days Later,Horror,en,2002-10-31,5000000,85720385,7.201,5854
15370,The Cat Returns,Adventure,ja,2002-07-19,0,54016370,7.187,1653
8051,Punch-Drunk Love,Drama,en,2002-10-25,25000000,24665649,7.134,1972
65,8 Mile,Drama,en,2002-11-08,41000000,242875078,7.126,6432
10590,We Were Soldiers,Action,en,2002-03-01,75000000,114660784,7.124,1774
1574,Chicago,Comedy,en,2002-12-10,45000000,306776732,7.1,2273
8470,John Q,Drama,en,2002-02-15,36000000,102244770,7.111,2094
1555,The Spanish Apartment,Drama,fr,2002-06-19,5300000,3897799,7.108,990
38397,"The Legend of Al, John and Jack",Comedy,it,2002-12-13,0,0,7.072,1058
7299,Equilibrium,Action,en,2002-12-06,20000000,5359645,7.022,3992
9533,Red Dragon,Crime,en,2002-10-02,78000000,209196298,7.012,3729
15015,Barbie as Rapunzel,Animation,en,2002-10-01,0,0,7.009,1106
1958,8 Women,Comedy,fr,2002-02-06,8000000,0,6.967,855
320,Insomnia,Crime,en,2002-05-24,46000000,113714830,6.927,4075
13931,Mike's New Car,Animation,en,2002-05-24,0,0,6.9,614
2755,About Schmidt,Drama,en,2002-12-12,30000000,105834556,6.828,1053
11013,Secretary,Comedy,en,2002-09-20,4000000,9304609,6.803,1343
4547,Panic Room,Crime,en,2002-03-29,48000000,197079546,6.749,4356
4912,Confessions of a Dangerous Mind,Comedy,en,2002-12-31,30000000,33013805,6.72,995
11880,Dog Soldiers,Horror,en,2002-05-10,2000000,3537283,6.7,718
11838,Ju-on: The Grudge,Horror,ja,2002-10-18,3500000,3657876,6.687,661
4108,The Transporter,Action,en,2002-10-02,21000000,43928932,6.685,4700
2675,Signs,Drama,en,2002-08-02,72000000,408247917,6.671,4934
1957,Enough,Drama,en,2002-05-21,38000000,51801187,6.663,981
245,About a Boy,Drama,en,2002-04-26,27000000,129000000,6.656,1972
9357,One Hour Photo,Drama,en,2002-08-21,12000000,52223306,6.649,1466
565,The Ring,Horror,en,2002-10-18,48000000,249348933,6.648,5472
2251,Unfaithful,Thriller,en,2002-05-10,50000000,119137784,6.6,1307
1576,Resident Evil,Horror,en,2002-03-15,33000000,102984862,6.603,5595
9613,Spider,Drama,en,2002-11-06,0,0,6.598,651
9707,Bubba Ho-tep,Comedy,en,2002-06-09,1000000,0,6.587,510
15070,Undisputed,Drama,en,2002-07-17,20000000,14946150,6.557,605
1894,Star Wars: Episode II - Attack of the Clones,Adventure,en,2002-05-15,120000000,649398328,6.548,11872
10052,Dragonfly,Thriller,en,2002-02-22,60000000,52322400,6.532,753
36586,Blade II,Fantasy,en,2002-03-22,54000000,155010032,6.514,4166
16690,Return to Never Land,Adventure,en,2002-02-14,20000000,109862682,6.5,2156
8346,My Big Fat Greek Wedding,Comedy,en,2002-02-22,5000000,368744044,6.481,1882
8665,K-19: The Widowmaker,Drama,en,2002-07-19,100000000,35168966,6.471,841
11529,Sweet Home Alabama,Comedy,en,2002-09-26,30000000,180622424,6.392,1341
10592,Hart's War,Drama,en,2002-02-15,70000000,32287044,6.362,809
608,Men in Black II,Action,en,2002-07-03,140000000,445135288,6.356,8922
2642,Two Weeks Notice,Comedy,en,2002-12-19,60000000,199043242,6.355,1832
11852,The Hot Chick,Comedy,en,2002-12-13,0,54639553,6.353,1756
11891,Kung Pow: Enter the Fist,Comedy,en,2002-01-25,0,0,6.331,543
11560,High Crimes,Drama,en,2002-04-05,42000000,63781810,6.329,670
4614,The Sum of All Fears,Thriller,en,2002-05-31,68000000,193921372,6.305,1482
455,Bend It Like Beckham,Comedy,en,2002-04-11,3500159,76578641,6.303,1687
201,Star Trek: Nemesis,Science Fiction,en,2002-12-13,60000000,67312826,6.294,1219
9012,Jackass: The Movie,Comedy,en,2002-10-25,5000000,64282312,6.283,1355
9962,The Good Girl,Drama,en,2002-01-12,8000000,16860964,6.262,547
1537,Changing Lanes,Thriller,en,2002-04-07,45000000,94935764,6.242,935
12100,Windtalkers,War,en,2002-06-14,115000000,77628265,6.233,1089
2135,The Time Machine,Science Fiction,en,2002-03-04,80000000,123729176,6.199,1964
2637,The Mothman Prophecies,Drama,en,2002-01-25,32000000,55305279,6.189,952
6278,Reign of Fire,Adventure,en,2002-07-09,60000000,82150183,6.152,1960
9573,Blood Work,Crime,en,2002-08-09,50000000,31794718,6.15,672
11892,Murder by Numbers,Crime,en,2002-04-19,50000000,56714147,6.139,871
14128,Cinderella II: Dreams Come True,Family,en,2002-02-23,5000000,0,6.099,1273
7303,Maid in Manhattan,Comedy,en,2002-12-13,55000000,154906693,6.095,1691
11979,Queen of the Damned,Drama,en,2002-02-10,35000000,45479110,6.065,894
9298,Ali G Indahouse,Comedy,en,2002-03-21,7000000,25900000,6.063,1196
9637,Scooby-Doo,Mystery,en,2002-06-14,84000000,275650703,6.047,3912
13683,Tarzan & Jane,Animation,en,2002-06-24,0,0,6.012,540
11452,National Lampoon's Van Wilder,Comedy,en,2002-03-29,6000000,39241323,6.012,1607
13654,101 Dalmatians II: Patch's London Adventure,Family,en,2002-11-06,0,0,6.007,1033
