id,name,gender,popularity
2770,J.B. Rogers,2,2.664
467,Nick Hamm,2,0.972
9398,Ben Stiller,2,18.971
2114,Motonori Sakakibara,2,0.907
9889,Peter Farrelly,2,5.409
10972,Brad Anderson,2,4.879
10796,James Wong,2,2.438
331,Joe Johnston,2,9.045
1613,Ronny Yu,2,4.48
2057,Michael Cristofer,2,2.145
9397,Ivan Reitman,2,7.016
10833,David Mirkin,2,2.0
2018,Adam Shankman,2,2.85
2749,John Herzfeld,2,0.959
12589,John A. Davis,2,2.172
6073,Gore Verbinski,2,3.037
1995,Simon West,2,5.578
2176,Daniel Sackheim,2,1.529
12138,Demian Lichtenstein,2,1.114
11397,Joel Gallen,2,1.083
10829,Brent Maddock,2,2.657
4248,Keenen Ivory Wayans,2,8.631
10054,Robert Rodriguez,2,9.698
869,Tim Burton,2,11.268
11467,Joe Roth,2,4.289
10956,Dennie Gordon,1,1.352
11469,Gil Junger,2,5.835
10992,Lawrence Guterman,2,0.972
10808,Steve Carr,2,1.4
9290,Simon Wincer,2,6.366
10477,Renny Harlin,2,6.102
10016,John Carpenter,2,6.019
11090,Luke Greenfield,2,1.703
11470,James Isaac,2,1.38
56715,Jean-Marie Poiré,2,2.317
598,Fernando Meirelles,2,2.913
423,Roman Polanski,2,6.126
121,Peter Jackson,2,12.976
640,Steven Spielberg,2,31.059
33320,Satoshi Kon,2,4.534
10775,Alan Mak,2,3.079
10229,Adam Shankman,2,2.85
672,Chris Columbus,2,7.109
9023,Lorna Cook,1,0.998
11362,Kevin Reynolds,2,4.369
64,Pedro Almodóvar,2,4.119
1430,Michael Moore,2,6.546
9016,John Musker,2,7.678
79,Zhang Yimou,2,3.187
11544,Dean DeBlois,2,2.824
4689,Park Chan-wook,2,8.304
2501,Doug Liman,2,7.993
1360,Julie Taymor,1,1.009
2757,Spike Jonze,2,9.582
2899,Alain Chabat,2,6.005
4147,Sam Mendes,2,8.82
20312,Bob Gale,2,2.514
1429,Spike Lee,2,7.626
425,Chris Wedge,2,3.447
180,Steven Spielberg,2,31.059
590,Stephen Daldry,2,4.526
3131,Martin Scorsese,2,14.656
557,Sam Raimi,2,17.589
979,Gaspar Noé,2,4.093
170,Danny Boyle,2,5.043
15370,Hiroyuki Morita,2,2.249
8051,Paul Thomas Anderson,2,8.778
65,Curtis Hanson,2,1.4
10590,Randall Wallace,2,5.509
1574,Rob Marshall,2,4.773
8470,Nick Cassavetes,2,11.797
1555,Cédric Klapisch,2,2.228
38397,Giacomo Poretti,2,2.692
7299,Kurt Wimmer,2,2.656
9533,Brett Ratner,2,3.47
15015,Owen Hurley,2,2.041
1958,François Ozon,2,2.333
320,Christopher Nolan,2,14.387
13931,Roger Gould,2,1.092
2755,Alexander Payne,2,1.533
11013,Steven Shainberg,2,1.456
4547,David Fincher,2,9.744
4912,George Clooney,2,24.426
11880,Neil Marshall,2,3.689
11838,Takashi Shimizu,2,2.85
4108,Corey Yuen,2,6.822
2675,M. Night Shyamalan,2,8.631
1957,Michael Apted,2,4.745
245,Paul Weitz,2,3.711
9357,Mark Romanek,2,1.739
565,Gore Verbinski,2,3.037
2251,Adrian Lyne,2,4.193
1576,Paul W. S. Anderson,2,12.095
9613,David Cronenberg,2,13.633
9707,Don Coscarelli,2,3.672
15070,Walter Hill,2,8.9
1894,George Lucas,2,13.94
10052,Tom Shadyac,2,4.518
36586,Guillermo del Toro,2,20.075
16690,Robin Budd,0,0.694
8346,Joel Zwick,2,1.434
8665,Kathryn Bigelow,1,2.377
11529,Andy Tennant,2,3.43
10592,Gregory Hoblit,2,1.942
608,Barry Sonnenfeld,2,8.202
2642,Marc Lawrence,2,3.356
11852,Tom Brady,2,4.183
11891,Steve Oedekerk,2,8.252
11560,Carl Franklin,2,1.97
4614,Phil Alden Robinson,2,2.046
455,Gurinder Chadha,1,3.8
201,Stuart Baird,2,5.235
9012,Jeff Tremaine,2,4.354
9962,Miguel Arteta,2,4.362
1537,Roger Michell,2,3.473
12100,John Woo,2,8.8
2135,Simon Wells,2,2.218
2637,Mark Pellington,2,3.844
6278,Rob Bowman,2,3.329
9573,Clint Eastwood,2,35.481
11892,Barbet Schroeder,2,2.372
14128,John Kafka,2,1.96
7303,Wayne Wang,2,2.645
11979,Michael Rymer,2,1.788
9298,Mark Mylod,2,14.204
9637,Raja Gosnell,2,7.006
13683,Lisa Schaffer,1,0.828
11452,Walt Becker,2,1.533
13654,Brian Smith,2,0.828
818,Jay Roach,2,5.489
36669,Lee Tamahori,2,5.189
9645,Steve Beck,2,0.84
9021,Michael Lembeck,2,2.868
7451,Rob Cohen,2,6.65
2103,Steven Soderbergh,2,7.112
9296,Andrew Niccol,2,5.529
11870,Shawn Levy,2,13.578
10599,Roberto Benigni,2,13.124
2022,Steven Brill,2,2.847
